date,pm25,pm10,o3,no2,so2,co
1/01/2014,0,44,73,28,92,37
2/01/2014,125,40,67,17,93,20
3/01/2014,117,39,37,23,92,12
4/01/2014,116,0,0,0,0,0
5/01/2014,0,36,100,12,93,16
6/01/2014,105,32,69,15,93,21
7/01/2014,99,26,46,12,93,12
8/01/2014,84,25,84,15,93,17
9/01/2014,83,19,72,18,93,21
10/01/2014,67,17,46,18,93,15
11/01/2014,63,14,49,16,92,14
12/01/2014,55,23,85,12,92,12
13/01/2014,77,24,69,9,92,8
14/01/2014,79,29,70,14,92,10
15/01/2014,90,28,70,15,92,9
16/01/2014,88,26,70,11,92,3
17/01/2014,82,42,105,15,92,8
18/01/2014,124,37,0,12,92,5
19/01/2014,108,35,58,15,92,11
20/01/2014,105,51,111,10,92,6
21/01/2014,145,49,90,18,92,12
22/01/2014,134,44,64,19,92,10
23/01/2014,126,36,46,24,92,24
24/01/2014,107,29,35,19,92,13
25/01/2014,89,17,30,12,92,8
26/01/2014,60,15,32,15,92,9
27/01/2014,58,22,30,16,92,14
28/01/2014,74,23,36,15,93,12
29/01/2014,77,22,38,11,92,7
30/01/2014,73,17,31,13,92,12
31/01/2014,61,14,30,12,92,4
1/02/2014,53,13,29,11,92,5
2/02/2014,51,12,25,11,93,5
3/02/2014,49,15,16,17,93,6
4/02/2014,58,0,0,0,0,0
7/02/2014,0,13,23,5,94,4
8/02/2014,53,19,38,10,94,6
9/02/2014,68,12,62,8,93,9
10/02/2014,43,5,42,8,93,9
11/02/2014,12,7,47,11,93,4
12/02/2014,31,5,47,10,92,4
13/02/2014,22,4,51,10,92,5
14/02/2014,18,16,62,15,92,9
15/02/2014,60,20,82,13,93,7
16/02/2014,70,17,70,12,93,8
17/02/2014,63,0,0,0,0,0
18/02/2014,0,3,57,3,92,2
19/02/2014,13,8,58,14,92,9
20/02/2014,29,23,46,20,93,22
21/02/2014,61,33,53,16,93,9
22/02/2014,89,17,50,8,93,3
23/02/2014,60,17,50,9,93,6
24/02/2014,59,18,45,9,94,5
25/02/2014,61,22,37,14,93,8
26/02/2014,71,0,0,0,0,0
27/02/2014,0,13,34,5,94,3
28/02/2014,50,19,41,10,94,4
1/03/2014,64,24,49,11,94,9
2/03/2014,75,20,38,10,94,8
3/03/2014,68,15,37,10,94,10
4/03/2014,57,14,35,12,94,13
5/03/2014,55,20,43,9,94,8
6/03/2014,68,22,47,9,94,6
7/03/2014,74,24,51,9,94,7
8/03/2014,78,20,44,11,94,14
9/03/2014,68,12,40,11,94,10
10/03/2014,46,17,53,12,94,13
11/03/2014,60,23,55,10,94,10
12/03/2014,74,28,53,12,94,13
13/03/2014,85,21,58,11,94,13
14/03/2014,69,11,44,13,93,10
15/03/2014,43,22,55,14,94,12
16/03/2014,73,29,55,15,94,18
17/03/2014,78,34,37,14,94,11
18/03/2014,87,28,46,6,95,10
19/03/2014,77,30,45,11,94,12
20/03/2014,80,26,52,13,95,12
21/03/2014,72,12,43,11,93,8
22/03/2014,39,19,51,8,93,8
23/03/2014,57,25,67,13,96,9
24/03/2014,70,35,49,13,119,15
25/03/2014,81,24,43,9,117,10
26/03/2014,66,23,49,9,123,8
27/03/2014,66,24,48,11,130,9
28/03/2014,69,31,58,11,134,10
29/03/2014,81,28,58,11,136,9
30/03/2014,75,25,61,10,135,11
31/03/2014,70,30,66,11,138,12
1/04/2014,79,24,62,10,134,10
2/04/2014,74,28,60,10,136,11
3/04/2014,82,21,25,16,143,19
4/04/2014,61,23,29,12,143,14
5/04/2014,67,21,23,12,147,13
6/04/2014,62,25,30,14,146,18
7/04/2014,69,27,27,15,154,16
8/04/2014,72,24,31,10,153,11
9/04/2014,68,20,32,12,151,11
10/04/2014,59,16,58,10,147,8
11/04/2014,52,19,49,10,150,10
12/04/2014,59,20,68,9,146,8
13/04/2014,62,20,73,10,148,14
14/04/2014,61,22,69,9,156,10
15/04/2014,67,22,78,10,155,10
16/04/2014,64,17,157,10,0,10
17/04/2014,57,22,165,10,0,11
18/04/2014,65,21,147,8,0,7
