date, pm25, pm10, o3, no2, so2, co
2014-01-01, ,124,22,40,6,28
2014-02-01,186,144,69,39,8,43
2014-03-01,227,151,24,25,12,28
2014-04-01,253, , , , , 
2014-05-01, ,115,65,35,5,33
2014-06-01,188,85,46,30,3,27
2014-07-01,167,80,20,28,10,27
2014-08-01,163,75,29,23,7,22
2014-09-01,165,103,21,32,12,32
2014-10-01,189,115,17,20,6,25
2014-11-01,206,69,19,17,5,20
2014-12-01,150,59,32,17,6,17
13/01/2014,133,77,93,27,9,21
14/01/2014,162,85,96,35,11,22
15/01/2014,171,90,104,37,10,23
16/01/2014,179,100,54,29,6,28
17/01/2014,191,102,65,36,9,31
18/01/2014,194,102,66,35,16,28
19/01/2014,199, , , , , 
20/01/2014, ,100, ,57,22,39
21/01/2014,179,91,55,41,13,28
22/01/2014,180,108,33,47,10,30
23/01/2014,183,94,35,34,2,24
24/01/2014,166,101,19,31,3,26
25/01/2014,183,97,17,29,5,26
26/01/2014,181,85,23,34,4,29
27/01/2014,167,65,23,29,3,24
28/01/2014,153,69,18,28,3,25
29/01/2014,154,76,27,22,3,23
30/01/2014,164,61,34,15,2,16
31/01/2014,134,38,21,16,2,13
2014-01-02,101,39,20,18,2,14
2014-02-02,101,37,20,20,2,14
2014-03-02,94,33,23,17,2,13
2014-04-02,84,31,17,15,2,14
2014-05-02,84,37,19,17,2,18
2014-06-02,99,29,15,17,2,20
2014-07-02,81,43,10,16,2,19
2014-08-02,120,46,12,14,2,17
2014-09-02,125,47,19,15,1,15
2014-10-02,127,62,23,14,1,14
2014-11-02,159,86,14,27,1,23
2014-12-02,183,62,25,18,4,16
13/02/2014,154,76,29,27,7,18
14/02/2014,168,96,18,37,8,24
15/02/2014,187,107,20,24,3,21
16/02/2014,209,84,13,26,1,31
17/02/2014,182,54,14,16,1,30
18/02/2014,125,56,24,18,2,19
19/02/2014,128,72,36,28,2,19
20/02/2014,147,81,17,38,4,27
21/02/2014,161,68,8,26,4,26
22/02/2014,160,55,3,21,3,28
23/02/2014,145,68,9,29,2,27
24/02/2014,148,57,8,27,1,25
25/02/2014,133,65,1,27,2,22
26/02/2014,154,57,3,30,2,30
27/02/2014,140,47,10,22,1,25
28/02/2014,121,39,3,17, ,14
2014-01-03,106,83,5,30,2,26
2014-02-03,166,68,7,25,2,30
2014-03-03,158,71,4,21,2,25
2014-04-03,162,72,6,23,2,26
2014-05-03,160,55,3,28,2,36
2014-06-03,139,37,1,18,2,29
2014-07-03,107,30,1,16,2,25
2014-08-03,90,39,4,16,1,15
2014-09-03,97,52,2,17,1,17
2014-10-03,125,69,2,22,2,26
2014-11-03,153,56,4,25,2,29
2014-12-03,132,52,7,19,2,24
13/03/2014,138,73,11,26,2,18
14/03/2014,160,67,11,34,3,22
15/03/2014,147,50,8,25,2,19
16/03/2014,121,74,1,27,4,33
17/03/2014,157,48,2,21,2,23
18/03/2014,117,51,1,27,2,30
19/03/2014,124,59,2,26,2,28
20/03/2014,146,53,16,19,1,12
21/03/2014,131,44,7,22,1,14
22/03/2014,115,45,3,19,1,22
23/03/2014,122,47,9,30,2,22
24/03/2014,118,61,14,28,2,19
25/03/2014,133,57,7,28,2,23
26/03/2014,132,57,4,25,2,23
27/03/2014,131,44,4,20,2,23
28/03/2014,104,41,1,19,2,25
29/03/2014,101,50,5,24,2,21
30/03/2014,122,62,11,30,2,23
31/03/2014,147,64,6,33,2,28
2014-01-04,147,73,6,30,2,26
2014-02-04,164,56,4,26,5,28
2014-03-04,138,66,12,30,8,26
2014-04-04,148,66,5,35,7,30
2014-05-04,154,44,17,31,7,20
2014-06-04,107,31,13,36,8,24
2014-07-04,75,47,11,30,13,27
2014-08-04,113,43,9,25,14,20
2014-09-04,104,36,4,21,14,22
2014-10-04,88,39,3,19,14,23
2014-11-04,93,45,3,20,15,22
2014-12-04,107,45,2,20,15,21
13/04/2014,107,54,1,23,16,28
14/04/2014,126,45,2,16,15,21
15/04/2014,106,42,3,17,15,19
16/04/2014,96,49,3,21,15,25
17/04/2014,111,47,3,21,16,26
18/04/2014,110,45,1,18,16,24
19/04/2014,106,39,1,20,16,24
20/04/2014,96,38,2,16,15,22
21/04/2014,94,46,1,18,16,30
22/04/2014,109,43,1,15,16,27
23/04/2014,109,47,1,20,16,28
24/04/2014,111,51,1,22,17,27
25/04/2014,118,48,2,26,16,22
26/04/2014,105,38,16,15,15,17
27/04/2014,91,62,9,16,12,26
28/04/2014,136,81,8,17,7,24
29/04/2014,165,50,22,14,6,12
30/04/2014,116,74,31,14,6,15
2014-01-05,158,66,36,18,7,16
2014-02-05,136,58,11,18,7,19
2014-03-05,126,70,18,16,6,16
2014-04-05,134,39,35,16,7,13
2014-05-05,88,60,30,20,8,17
2014-06-05,131,74,11,24,11,29
