date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
8/22/2020,0,52,1,22,3,11,52,Vừa Phải
8/23/2020,74,60,0,19,4,10,74,Vừa Phải
8/24/2020,76,49,1,15,1,9,76,Vừa Phải
8/25/2020,54,52,1,16,2,10,54,Vừa Phải
8/26/2020,66,70,1,30,2,10,70,Vừa Phải
8/27/2020,99,58,1,26,2,11,99,Vừa Phải
8/28/2020,75,57,1,23,1,11,75,Vừa Phải
8/29/2020,74,62,1,25,1,11,74,Vừa Phải
8/30/2020,79,62,1,22,3,10,79,Vừa Phải
8/31/2020,80,58,1,13,3,10,80,Vừa Phải
9/1/2020,79,82,1,20,4,8,82,Vừa Phải
9/2/2020,127,73,1,17,1,12,127,Không tốt cho người nhạy cảm
9/3/2020,99,71,1,14,3,11,99,Vừa Phải
9/4/2020,104,70,0,16,2,12,104,Không tốt cho người nhạy cảm
9/5/2020,96,0,0,0,0,0,96,Vừa Phải
9/6/2020,0,47,0,21,2,11,47,Tốt
9/7/2020,54,65,1,29,1,12,65,Vừa Phải
9/8/2020,87,59,1,27,1,11,87,Vừa Phải
9/9/2020,70,63,1,37,1,14,70,Vừa Phải
9/10/2020,63,60,1,36,1,12,63,Vừa Phải
9/11/2020,66,63,1,42,4,12,66,Vừa Phải
9/12/2020,73,52,1,27,1,9,73,Vừa Phải
9/13/2020,61,50,1,25,1,12,61,Vừa Phải
9/14/2020,51,63,2,32,2,12,63,Vừa Phải
9/15/2020,66,61,0,26,3,11,66,Vừa Phải
9/16/2020,69,71,1,31,3,8,71,Vừa Phải
9/17/2020,85,33,0,25,2,3,85,Vừa Phải
9/18/2020,40,39,0,18,1,7,40,Tốt
9/19/2020,44,58,0,20,1,12,58,Vừa Phải
9/20/2020,70,77,0,33,3,13,77,Vừa Phải
9/21/2020,105,57,1,44,1,15,105,Không tốt cho người nhạy cảm
9/22/2020,56,58,0,29,1,14,58,Vừa Phải
9/23/2020,60,40,0,26,2,8,60,Vừa Phải
9/24/2020,46,63,1,35,2,11,63,Vừa Phải
9/25/2020,78,46,0,50,1,10,78,Vừa Phải
9/26/2020,41,45,1,31,1,8,45,Tốt
9/27/2020,41,62,1,38,3,11,62,Vừa Phải
9/28/2020,72,66,1,45,2,11,72,Vừa Phải
9/29/2020,86,59,1,46,1,12,86,Vừa Phải
9/30/2020,74,51,1,26,3,13,74,Vừa Phải
10/1/2020,60,58,1,18,1,11,60,Vừa Phải
10/2/2020,75,59,0,23,1,11,75,Vừa Phải
10/3/2020,78,59,0,20,2,10,78,Vừa Phải
10/4/2020,71,54,1,16,2,12,71,Vừa Phải
10/5/2020,64,52,1,20,1,5,64,Vừa Phải
10/6/2020,57,31,1,20,3,4,57,Vừa Phải
10/7/2020,38,34,1,10,1,3,38,Tốt
10/8/2020,45,32,1,12,2,3,45,Tốt
10/9/2020,43,35,1,17,2,3,43,Tốt
10/10/2020,48,43,1,14,2,4,48,Tốt
10/11/2020,57,57,1,17,1,6,57,Vừa Phải
10/12/2020,87,68,1,19,1,7,87,Vừa Phải
10/13/2020,104,49,1,12,1,4,104,Không tốt cho người nhạy cảm
10/14/2020,69,26,1,9,2,7,69,Vừa Phải
10/15/2020,31,28,1,10,2,5,31,Tốt
10/16/2020,33,23,1,7,1,5,33,Tốt
10/17/2020,32,31,1,7,1,7,32,Tốt
10/18/2020,40,33,2,8,2,6,40,Tốt
10/19/2020,43,38,1,9,1,5,43,Tốt
10/20/2020,54,43,1,10,1,5,54,Vừa Phải
10/21/2020,59,67,1,19,1,10,67,Vừa Phải
10/22/2020,102,79,2,17,1,13,102,Không tốt cho người nhạy cảm
10/23/2020,113,76,1,19,1,13,113,Không tốt cho người nhạy cảm
10/24/2020,106,79,1,15,1,7,106,Không tốt cho người nhạy cảm
10/25/2020,113,57,1,13,1,7,113,Không tốt cho người nhạy cảm
10/26/2020,84,56,1,14,2,9,84,Vừa Phải
10/27/2020,77,63,0,18,1,8,77,Vừa Phải
10/28/2020,94,37,0,16,1,6,94,Vừa Phải
10/29/2020,55,23,1,13,1,8,55,Vừa Phải
