,Unnamed: 0,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,0,Tân Bình,2021-12-27,0,22,5,4,5,0,22
1,1,Tân Bình,2021-12-28,17,22,2,2,4,0,22
2,2,Tân Bình,2021-12-29,22,15,4,2,4,0,22
3,3,Tân Bình,2021-12-30,17,22,5,2,3,0,22
4,4,Tân Bình,2021-12-31,29,13,5,2,5,0,29
5,5,Tân Bình,2022-01-01,18,25,14,2,4,0,25
6,6,Tân Bình,2022-01-02,27,42,8,4,6,0,42
7,7,Tân Bình,2022-01-03,48,26,12,3,4,0,48
8,8,Tân Bình,2022-01-04,28,19,10,2,4,0,28
9,9,Tân Bình,2022-01-05,19,15,10,2,3,0,19
10,10,Tân Bình,2022-01-06,14,22,15,4,5,0,22
11,11,Tân Bình,2022-01-07,23,17,14,3,4,0,23
12,12,Tân Bình,2022-01-08,19,13,3,3,6,0,19
13,13,Tân Bình,2022-01-09,16,25,4,1,4,0,25
14,14,Tân Bình,2022-01-10,36,19,7,3,6,0,36
15,15,Tân Bình,2022-01-11,16,19,7,3,7,0,19
16,16,Tân Bình,2022-01-12,17,14,4,3,10,0,17
17,17,Tân Bình,2022-01-13,14,19,3,3,11,0,19
18,18,Tân Bình,2022-01-14,25,41,8,4,14,0,41
19,19,Tân Bình,2022-01-15,48,13,9,2,14,0,48
20,20,Tân Bình,2022-01-16,15,6,80,2,15,0,80
21,21,Tân Bình,2022-01-17,5,18,10,2,5,0,18
22,22,Tân Bình,2022-01-18,15,13,8,2,8,0,15
23,23,Tân Bình,2022-01-19,13,7,3,2,9,0,13
24,24,Tân Bình,2022-01-20,8,2,1,3,8,0,8
25,25,Tân Bình,2022-01-21,3,0,4,1,2,0,4
26,26,Tân Bình,2022-01-22,0,0,6,1,1,0,6
27,27,Tân Bình,2022-01-23,0,3,6,1,44,0,44
28,28,Tân Bình,2022-01-24,3,1,5,1,11,0,11
29,29,Tân Bình,2022-01-25,1,0,5,1,0,0,5
30,30,Tân Bình,2022-01-26,0,2,12,1,0,0,12
31,31,Tân Bình,2022-01-27,2,7,14,1,0,0,14
32,32,Tân Bình,2022-01-28,7,0,10,1,0,0,10
33,33,Tân Bình,2022-01-29,0,1,6,2,0,0,6
34,34,Tân Bình,2022-01-30,1,2,8,2,0,0,8
35,35,Tân Bình,2022-01-31,2,3,9,1,0,0,9
36,36,Tân Bình,2022-02-01,4,2,7,1,0,0,7
37,37,Tân Bình,2022-02-02,3,3,10,1,0,0,10
38,38,Tân Bình,2022-02-03,3,7,11,2,0,0,11
39,39,Tân Bình,2022-02-04,8,12,15,2,0,0,15
40,40,Tân Bình,2022-02-05,16,14,8,3,0,0,16
41,41,Tân Bình,2022-02-06,24,2,9,2,0,0,24
42,42,Tân Bình,2022-02-07,3,0,4,2,0,0,4
43,43,Tân Bình,2022-02-08,0,4,3,2,0,0,4
44,44,Tân Bình,2022-02-09,4,0,2,2,0,0,4
45,45,Tân Bình,2022-02-10,0,0,2,2,0,0,2
46,46,Tân Bình,2022-02-11,0,0,2,1,0,0,2
47,47,Tân Bình,2022-02-12,0,1,5,1,0,0,5
48,48,Tân Bình,2022-02-13,1,9,9,3,6,0,9
49,49,Tân Bình,2022-02-14,8,6,5,3,3,0,8
50,50,Tân Bình,2022-02-15,8,2,3,3,6,0,8
51,51,Tân Bình,2022-02-16,3,0,7,3,2,0,7
52,52,Tân Bình,2022-02-17,0,0,7,3,1,0,7
53,53,Tân Bình,2022-02-18,0,1,9,2,3,0,9
54,54,Tân Bình,2022-02-19,1,0,10,2,1,0,10
55,55,Tân Bình,2022-02-20,0,5,10,3,1,0,10
56,56,Tân Bình,2022-02-21,5,5,11,2,0,0,11
57,57,Tân Bình,2022-02-22,5,8,14,3,5,0,14
58,58,Tân Bình,2022-02-23,7,11,16,3,3,0,16
59,59,Tân Bình,2022-02-24,11,14,19,4,3,0,19
60,60,Tân Bình,2022-02-25,15,18,13,5,6,0,18
61,61,Tân Bình,2022-02-26,17,18,24,3,2,0,24
62,62,Tân Bình,2022-02-27,26,13,27,3,3,0,27
63,63,Tân Bình,2022-02-28,18,5,15,3,3,0,18
64,64,Tân Bình,2022-03-01,8,18,20,2,4,0,20
65,65,Tân Bình,2022-03-02,27,9,11,2,4,0,27
66,66,Tân Bình,2022-03-03,11,1,10,2,5,0,11
67,67,Tân Bình,2022-03-04,2,0,6,2,7,0,7
68,68,Tân Bình,2022-03-05,0,0,7,2,8,0,8
69,69,Tân Bình,2022-03-06,0,17,10,2,12,0,17
70,70,Tân Bình,2022-03-07,15,15,23,3,13,0,23
71,71,Tân Bình,2022-03-08,11,13,19,4,15,0,19
72,72,Tân Bình,2022-03-09,10,12,17,3,17,0,17
73,73,Tân Bình,2022-03-10,9,11,14,1,17,0,17
74,74,Tân Bình,2022-03-11,9,7,15,1,17,0,17
75,75,Tân Bình,2022-03-12,6,6,11,1,3,0,11
76,76,Tân Bình,2022-03-13,5,6,20,1,5,0,20
77,77,Tân Bình,2022-03-14,5,16,21,2,5,0,21
78,78,Tân Bình,2022-03-15,21,0,6,2,0,0,21
79,79,Tân Bình,2022-03-16,0,0,6,1,1,0,6
80,80,Tân Bình,2022-03-17,0,4,7,2,0,0,7
81,81,Tân Bình,2022-03-18,6,0,9,1,1,0,9
82,82,Tân Bình,2022-03-19,1,0,9,1,1,0,9
83,83,Tân Bình,2022-03-20,0,0,8,1,1,0,8
84,84,Tân Bình,2022-03-21,0,1,9,1,0,0,9
85,85,Tân Bình,2022-03-22,1,0,4,1,0,0,4
86,86,Tân Bình,2022-03-23,0,0,11,1,1,0,11
87,87,Tân Bình,2022-03-24,0,0,10,1,0,0,10
88,88,Tân Bình,2022-03-25,0,22,27,2,0,0,27
89,89,Tân Bình,2022-03-26,33,8,10,3,1,0,33
90,90,Tân Bình,2022-03-27,9,11,8,2,2,0,11
91,91,Tân Bình,2022-03-28,12,5,5,2,4,0,12
92,92,Tân Bình,2022-03-29,6,0,7,2,2,0,7
93,93,Tân Bình,2022-03-30,0,5,12,3,5,0,12
94,94,Tân Bình,2022-03-31,6,1,10,2,4,0,10
95,95,Tân Bình,2022-04-01,1,7,14,2,5,0,14
96,96,Tân Bình,2022-04-02,5,13,21,2,9,0,21
97,97,Tân Bình,2022-04-03,12,15,27,3,12,0,27
98,98,Tân Bình,2022-04-04,13,23,28,4,13,0,28
99,99,Tân Bình,2022-04-05,20,22,30,3,14,0,30
100,100,Tân Bình,2022-04-06,20,23,25,3,16,0,25
101,101,Tân Bình,2022-04-07,23,21,35,3,17,0,35
102,102,Tân Bình,2022-04-08,22,14,28,1,16,0,28
103,103,Tân Bình,2022-04-09,13,18,23,1,18,0,23
104,104,Tân Bình,2022-04-10,12,9,13,1,19,0,19
105,105,Tân Bình,2022-04-11,6,0,10,1,23,0,23
106,106,Tân Bình,2022-04-12,0,20,25,2,26,0,26
107,107,Tân Bình,2022-04-13,23,9,18,1,27,0,27
108,108,Tân Bình,2022-04-14,10,0,13,2,29,0,29
109,109,Tân Bình,2022-04-15,0,0,13,4,32,0,32
110,110,Tân Bình,2022-04-16,0,0,5,1,35,0,35
111,111,Tân Bình,2022-04-17,0,5,8,1,13,0,13
112,112,Tân Bình,2022-04-18,5,11,12,2,10,0,12
113,113,Tân Bình,2022-04-19,10,14,15,3,51,0,51
114,114,Tân Bình,2022-04-20,14,4,16,2,1,0,16
115,115,Tân Bình,2022-04-21,6,1,15,2,20,0,20
116,116,Tân Bình,2022-04-22,1,0,6,1,2,0,6
117,117,Tân Bình,2022-04-23,0,0,39,1,1,0,39
118,118,Tân Bình,2022-04-24,0,1,11,1,1,0,11
119,119,Tân Bình,2022-04-25,1,0,76,1,1,0,76
120,120,Tân Bình,2022-04-26,0,1,12,1,1,0,12
121,121,Tân Bình,2022-04-27,1,0,5,1,0,0,5
122,122,Tân Bình,2022-04-28,0,0,5,1,0,0,5
123,123,Tân Bình,2022-04-29,0,0,6,1,0,0,6
124,124,Tân Bình,2022-04-30,0,0,11,1,0,0,11
125,125,Tân Bình,2022-05-01,0,0,10,1,0,0,10
126,126,Tân Bình,2022-05-02,0,0,9,1,0,0,9
127,127,Tân Bình,2022-05-03,0,0,0,1,0,0,1
128,128,Tân Bình,2022-05-04,0,10,47,2,0,0,47
129,129,Tân Bình,2022-05-05,11,4,26,2,0,0,26
130,130,Tân Bình,2022-05-06,4,1,13,0,0,0,13
