,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Minh Thành,2021-02-15,0,25,8,6,1,1,25
1,Minh Thành,2021-02-16,17,25,23,5,1,1,25
2,Minh Thành,2021-02-17,18,36,23,15,2,1,36
3,Minh Thành,2021-02-18,19,49,29,14,4,1,49
4,Minh Thành,2021-02-19,38,54,31,14,3,1,54
5,Minh Thành,2021-02-20,43,0,0,0,0,0,43
6,Minh Thành,2021-02-23,0,23,12,4,1,4,23
7,Minh Thành,2021-02-24,15,33,13,5,1,3,33
8,Minh Thành,2021-02-25,20,39,9,17,6,4,39
9,Minh Thành,2021-02-26,29,59,7,9,2,5,59
10,Minh Thành,2021-02-27,56,0,0,0,0,0,56
11,Minh Thành,2021-02-28,0,39,6,7,1,4,39
12,Minh Thành,2021-03-01,28,22,8,2,2,5,28
13,Minh Thành,2021-03-02,15,0,0,0,0,0,15
14,Minh Thành,2021-03-03,0,44,3,18,2,6,44
15,Minh Thành,2021-03-04,19,28,9,15,2,6,28
16,Minh Thành,2021-03-05,16,32,10,7,1,4,32
17,Minh Thành,2021-03-06,18,41,15,13,3,4,41
18,Minh Thành,2021-03-07,25,55,8,22,6,5,55
19,Minh Thành,2021-03-08,44,71,3,33,6,4,71
20,Minh Thành,2021-03-09,54,0,0,0,0,0,54
21,Minh Thành,2021-03-11,0,56,18,12,2,5,56
22,Minh Thành,2021-03-12,48,55,21,11,2,4,55
23,Minh Thành,2021-03-13,48,53,16,8,1,4,53
24,Minh Thành,2021-03-14,43,49,18,8,1,4,49
25,Minh Thành,2021-03-15,34,0,0,0,0,0,34
26,Minh Thành,2021-03-28,0,21,10,9,1,4,21
27,Minh Thành,2021-03-29,24,41,11,8,1,4,41
28,Minh Thành,2021-03-30,54,40,12,8,1,4,54
29,Minh Thành,2021-03-31,47,40,9,8,1,4,47
30,Minh Thành,2021-04-01,45,32,9,7,1,4,45
31,Minh Thành,2021-04-02,32,34,8,10,1,4,34
32,Minh Thành,2021-04-03,31,20,6,9,2,4,31
33,Minh Thành,2021-04-04,12,51,11,20,4,5,51
34,Minh Thành,2021-04-05,76,56,11,30,5,5,76
35,Minh Thành,2021-04-06,75,36,21,15,2,4,75
36,Minh Thành,2021-04-07,37,33,17,10,1,4,37
37,Minh Thành,2021-04-08,32,25,20,8,3,5,32
38,Minh Thành,2021-04-09,27,46,13,25,4,5,46
39,Minh Thành,2021-04-10,71,43,18,19,3,5,71
40,Minh Thành,2021-04-11,52,35,15,9,1,4,52
